snr_s,BER_BCJRs,BER_BNETs,BER_Nothing_s
0.25,0.1189171006944445,0.127028838734568,0.1896985918209875
0.75,0.07906684027777795,0.09260850694444445,0.184789737654321
1.25,0.028243152006172802,0.046421199845679,0.1795867091049385
1.75,0.00117597415123455,0.00685474537037035,0.174559461805556
2.25,0.00027126736111110993,0.00101224922839505,0.16901620370370352
2.75,6.317515432098765e-05,0.0001680652006172611,0.163987991898148
3.25,2.314814814814815e-05,4.50906635802469e-05,0.156918402777778
3.75,1.012731481481481e-05,9.886188271604961e-06,0.15110026041666652
4.25,2.1701388888888863e-06,2.411265432098765e-06,0.142366657021605
4.75,2.17013888888889e-06,0.0,0.133615451388889
5.25,7.233796296296295e-07,9.645061728395064e-07,0.12364125192901249
5.75,2.411265432098765e-07,0.0,0.112593074845679
6.25,0.0,0.0,0.10319058641975315
6.75,2.411265432098765e-07,2.411265432098765e-07,0.08772810570987655
7.25,0.0,0.0,0.0752799479166667
7.75,0.0,0.0,0.0596993152006173
,,,
